Student,LPIPS,SSIM
112598071.png,0.0,1.0
112598075.png,0.31517210602760315,0.6058306214808856
109590015.png,0.48707446455955505,0.585496551148542
112598048.png,0.5120186805725098,0.5509392984980458
109590052.png,0.5128564834594727,0.5981158423417214
110590029.png,0.5141410231590271,0.6341941863191883
109590057.png,0.5431685447692871,0.6074764506549275
112598083.png,0.5626316666603088,0.5746588650601384
